Year,Population,Growth Rate
2004,6783500,0.992231149
2005,6813200,1.004378271
2006,6857100,1.006443375
2007,6916300,1.008633387
2008,6957800,1.006000318
2009,6972800,1.002155854
2010,7024200,1.007371501
2011,7071600,1.006748099
2012,7150100,1.011100741
2013,7178900,1.004027916
2014,7229500,1.007048434
2015,7291300,1.008548309
2016,7336600,1.006212884
2017,7393200,1.007714745
2018,7452600,1.00803441
2019,7507900,1.007420229
2020,7481000,0.996417107
2021,7413100,0.990923673
2022,7346100,0.990961946
2023,7503100,1.021371884
